fid,Nom,commune,type_pasto,Governance,surface_m2,slope_mean,slope_stde,aspect_mean,aspect_stde,roughness_mean,roughness_stde,year,NDVI_mean,SAVI_mean,MSAVI_mean,NDRE_mean,NDVI_std,SAVI_std,MSAVI_std,NDRE_std,NDVI_amplitude,SAVI_amplitude,MSAVI_amplitude,NDRE_amplitude
1,S3-LDT,Santiago,LDT,intermediate,773153.748,8.78411248214611,7.62333447945291,197.437051922138,98.1824213046045,162.52632994783,166.818780325213,"2022","0.2292901488","0.1541743516","0.137725674","0.1537592569","0.04190459565","0.02376917688","0.02161734725","0.02575637398","0.1102188093","0.06323638805","0.05763355528","0.06816265762"
2,S3-LDT,Santiago,LDT,intermediate,773153.748,8.78411248214611,7.62333447945291,197.437051922138,98.1824213046045,162.52632994783,166.818780325213,"2021","0.3050836068","0.2017269982","0.1817648132","0.1984893401","0.06950605787","0.04450933039","0.04172932819","0.03975686861","0.17597873","0.1129116417","0.1058977528","0.100484685"
3,S3-LDT,Santiago,LDT,intermediate,773153.748,8.78411248214611,7.62333447945291,197.437051922138,98.1824213046045,162.52632994783,166.818780325213,"2020","0.2678900835","0.1854752269","0.1687675742","0.1775267611","0.08086103938","0.05301314422","0.05005549353","0.04846160676","0.1867179535","0.1228797488","0.115951009","0.1126373418"
4,S3-LDT,Santiago,LDT,intermediate,773153.748,8.78411248214611,7.62333447945291,197.437051922138,98.1824213046045,162.52632994783,166.818780325213,"2019","0.2627565797","0.1794701422","0.1619392206","0.1752036456","0.06425127071","0.03901895277","0.0358269864","0.03811078537","0.1599975694","0.09952909768","0.09173376885","0.09464135278"
5,S3-LDT,Santiago,LDT,intermediate,773153.748,8.78411248214611,7.62333447945291,197.437051922138,98.1824213046045,162.52632994783,166.818780325213,"2018","0.2136299079","0.1401326892","0.1244003472","0.1419134203","0.06293585765","0.04677097898","0.04396448627","0.04735699955","0.1621040389","0.1209933266","0.1137199362","0.1219421006"
6,S3-LDT,Santiago,LDT,intermediate,773153.748,8.78411248214611,7.62333447945291,197.437051922138,98.1824213046045,162.52632994783,166.818780325213,"2017","0.253743494","0.1722561747","0.1547150622","0.1696006177","0.05555838921","0.03601455488","0.03337465434","0.03442230671","0.1432432988","0.09250036889","0.08579224922","0.08832109565"
7,S2-LDT,Santiago,LDT,intermediate,773150.995,9.74392718357707,7.45435108599699,179.057324384875,87.9116021688568,146.393352524122,161.108338611692,"2022","0.2106155148","0.1420106324","0.1269508528","0.1404637859","0.03967889824","0.02394850476","0.02237423801","0.02726611308","0.1030579217","0.0618174864","0.05763946737","0.07073066468"
8,S2-LDT,Santiago,LDT,intermediate,773150.995,9.74392718357707,7.45435108599699,179.057324384875,87.9116021688568,146.393352524122,161.108338611692,"2021","0.3004484278","0.2073951652","0.1890879654","0.1991102727","0.05875735879","0.03920559558","0.03729684529","0.03627618909","0.1527918449","0.1024798755","0.0977278621","0.09404692717"
9,S2-LDT,Santiago,LDT,intermediate,773150.995,9.74392718357707,7.45435108599699,179.057324384875,87.9116021688568,146.393352524122,161.108338611692,"2020","0.2811848583","0.1981853337","0.1809631789","0.1880620705","0.0527500974","0.03546139114","0.03374746007","0.03266809484","0.1268877134","0.08492134747","0.08076653626","0.07858490539"
10,S2-LDT,Santiago,LDT,intermediate,773150.995,9.74392718357707,7.45435108599699,179.057324384875,87.9116021688568,146.393352524122,161.108338611692,"2019","0.2315844633","0.1644744307","0.1497452775","0.1556032281","0.06019625579","0.04236819065","0.03982716707","0.0401572836","0.1586590507","0.1118385627","0.1051465217","0.1061910805"
11,S2-LDT,Santiago,LDT,intermediate,773150.995,9.74392718357707,7.45435108599699,179.057324384875,87.9116021688568,146.393352524122,161.108338611692,"2018","0.1916352862","0.1330901261","0.1196335647","0.1269301296","0.07437200708","0.05714002243","0.0539570762","0.05759654266","0.1909463998","0.1460140905","0.137822933","0.147129101"
12,S2-LDT,Santiago,LDT,intermediate,773150.995,9.74392718357707,7.45435108599699,179.057324384875,87.9116021688568,146.393352524122,161.108338611692,"2017","0.2335187934","0.1617779347","0.145918585","0.1594012976","0.04162855441","0.02628951977","0.02444558082","0.02776089457","0.1081606331","0.06871451075","0.06386866808","0.07193451775"
13,S3-SDT,Santiago,SDT,intermediate,773149.787,9.79324073142258,6.1900442399258,240.201992946999,95.5212080022657,147.980743244032,182.942943349912,"2022","0.2242946457","0.1440668046","0.1270138385","0.1495492452","0.04523317638","0.02784091095","0.02593373313","0.03042192753","0.1197052105","0.07321929465","0.06786008079","0.08043740487"
14,S3-SDT,Santiago,SDT,intermediate,773149.787,9.79324073142258,6.1900442399258,240.201992946999,95.5212080022657,147.980743244032,182.942943349912,"2021","0.2953552709","0.1917997339","0.1714361261","0.1922904543","0.06649394486","0.03988167913","0.03647362676","0.03932453099","0.1708672219","0.1035926494","0.09500523567","0.1008497098"
15,S3-SDT,Santiago,SDT,intermediate,773149.787,9.79324073142258,6.1900442399258,240.201992946999,95.5212080022657,147.980743244032,182.942943349912,"2020","0.2913831329","0.1953964256","0.1761254008","0.1918681695","0.06754228307","0.04304882284","0.04038618642","0.04116842266","0.1624393164","0.1035940012","0.09715148102","0.09874452606"
16,S3-SDT,Santiago,SDT,intermediate,773149.787,9.79324073142258,6.1900442399258,240.201992946999,95.5212080022657,147.980743244032,182.942943349912,"2019","0.2482850135","0.1663877683","0.1489474478","0.1646757602","0.06015424783","0.03702227143","0.03382320092","0.0382919935","0.1578325948","0.09878488056","0.09033891373","0.0995313427"
17,S3-SDT,Santiago,SDT,intermediate,773149.787,9.79324073142258,6.1900442399258,240.201992946999,95.5212080022657,147.980743244032,182.942943349912,"2018","0.2183453219","0.144645959","0.128790301","0.1465450058","0.0508269954","0.03774950389","0.03533947621","0.04022402353","0.1333996613","0.09934697157","0.09293821858","0.1045968175"
18,S3-SDT,Santiago,SDT,intermediate,773149.787,9.79324073142258,6.1900442399258,240.201992946999,95.5212080022657,147.980743244032,182.942943349912,"2017","0.2515343725","0.1706816498","0.1531554788","0.169223666","0.05384905708","0.03343605566","0.03085102255","0.0335070416","0.1363273759","0.08816299514","0.0817713198","0.08555514095"
19,S2-SDT,Santiago,SDT,intermediate,773148.65,7.04050460264915,5.07373681171315,200.744711505601,111.604366489516,164.938685165195,184.629917415216,"2022","0.210872782","0.1415823628","0.1262942753","0.1366012739","0.04457460505","0.02865411505","0.02639367564","0.03089531111","0.1151988875","0.07310063252","0.0672864523","0.07964916384"
20,S2-SDT,Santiago,SDT,intermediate,773148.65,7.04050460264915,5.07373681171315,200.744711505601,111.604366489516,164.938685165195,184.629917415216,"2021","0.2684155654","0.1788654","0.1603889058","0.1720373302","0.06047301798","0.03792418988","0.03480281967","0.03483479492","0.1543816092","0.09736479041","0.08954727912","0.08902968877"
21,S2-SDT,Santiago,SDT,intermediate,773148.65,7.04050460264915,5.07373681171315,200.744711505601,111.604366489516,164.938685165195,184.629917415216,"2020","0.2926312514","0.2021769539","0.1836588269","0.188898926","0.06470590604","0.04207220399","0.03952640112","0.03822617609","0.1551304003","0.1002177552","0.09405050881","0.09140124802"
22,S2-SDT,Santiago,SDT,intermediate,773148.65,7.04050460264915,5.07373681171315,200.744711505601,111.604366489516,164.938685165195,184.629917415216,"2019","0.2243575747","0.1527323412","0.1367858619","0.1459664944","0.05542719563","0.03499501771","0.03198457699","0.0352834346","0.1444629059","0.09271904405","0.08486362558","0.09169489237"
23,S2-SDT,Santiago,SDT,intermediate,773148.65,7.04050460264915,5.07373681171315,200.744711505601,111.604366489516,164.938685165195,184.629917415216,"2018","0.2102527417","0.1430612232","0.1279363291","0.1360924037","0.07335077724","0.05333215194","0.05005240836","0.05650890785","0.1873479511","0.1367683023","0.1284028928","0.1441200463"
24,S2-SDT,Santiago,SDT,intermediate,773148.65,7.04050460264915,5.07373681171315,200.744711505601,111.604366489516,164.938685165195,184.629917415216,"2017","0.2271582659","0.1529099013","0.1366176177","0.1496507349","0.05141370462","0.03286394293","0.03024174268","0.03175160198","0.1254922166","0.08019180024","0.0739090792","0.07871417545"
25,S1-SDT,Santiago,SDT,intermediate,773147.938,16.7906952918067,8.23515829222587,236.236035068703,109.292798538085,143.292641559437,198.442617152748,"2022","0.2068444243","0.1343075793","0.1188713364","0.1385059147","0.0743017536","0.04319928435","0.0379738331","0.05521825708","0.1921270912","0.1104249886","0.0971989221","0.1420489107"
26,S1-SDT,Santiago,SDT,intermediate,773147.938,16.7906952918067,8.23515829222587,236.236035068703,109.292798538085,143.292641559437,198.442617152748,"2021","0.3033225786","0.1914680321","0.1701302926","0.2005790179","0.04652942347","0.02814450517","0.02625357506","0.02847092957","0.1195523773","0.07287647876","0.06811285804","0.0723949253"
27,S1-SDT,Santiago,SDT,intermediate,773147.938,16.7906952918067,8.23515829222587,236.236035068703,109.292798538085,143.292641559437,198.442617152748,"2020","0.3038302492","0.1974690776","0.1772042201","0.2022476178","0.06088100428","0.03836421142","0.03624410544","0.0389479327","0.144385649","0.08992404686","0.08486463071","0.09199960373"
28,S1-SDT,Santiago,SDT,intermediate,773147.938,16.7906952918067,8.23515829222587,236.236035068703,109.292798538085,143.292641559437,198.442617152748,"2019","0.2483968414","0.160524675","0.1424540261","0.1668318019","0.05918837042","0.0386675163","0.03547838881","0.03906206918","0.1546866233","0.09990473268","0.09145304971","0.1022918889"
29,S1-SDT,Santiago,SDT,intermediate,773147.938,16.7906952918067,8.23515829222587,236.236035068703,109.292798538085,143.292641559437,198.442617152748,"2018","0.2132258525","0.1328852657","0.1166768732","0.142602051","0.09696656579","0.06765160784","0.06269747442","0.07339244464","0.2508382708","0.1756213078","0.1630091181","0.1889002581"
30,S1-SDT,Santiago,SDT,intermediate,773147.938,16.7906952918067,8.23515829222587,236.236035068703,109.292798538085,143.292641559437,198.442617152748,"2017","0.2611169195","0.1668714059","0.1475024529","0.1778811572","0.03881116498","0.02528781403","0.02372658141","0.02522919197","0.1014811471","0.06616704937","0.06196617814","0.06581849693"
31,P1-LDT,Pontones,LDT,strict,773150.995,3.31506584876258,2.1234950327579,230.107936943266,114.30366225077,277.287993620777,207.596818883398,"2022","0.2744082956","0.1809437988","0.1622539532","0.1812576364","0.07766758499","0.04429746736","0.04048999179","0.05044943792","0.2054305098","0.1173356175","0.1069667207","0.1349455383"
32,P1-LDT,Pontones,LDT,strict,773150.995,3.31506584876258,2.1234950327579,230.107936943266,114.30366225077,277.287993620777,207.596818883398,"2021","0.3710153958","0.2413049418","0.2190765862","0.2406146447","0.07578579188","0.04728812168","0.04494737213","0.04318303071","0.1936066794","0.1216808533","0.1159933199","0.1105328756"
33,P1-LDT,Pontones,LDT,strict,773150.995,3.31506584876258,2.1234950327579,230.107936943266,114.30366225077,277.287993620777,207.596818883398,"2020","0.3340408347","0.2237959236","0.2040402957","0.2204122042","0.06596515379","0.04552087341","0.04432682873","0.03925650168","0.1544118528","0.1058560915","0.1030378637","0.09186252074"
34,P1-LDT,Pontones,LDT,strict,773150.995,3.31506584876258,2.1234950327579,230.107936943266,114.30366225077,277.287993620777,207.596818883398,"2019","0.3015698981","0.2044797986","0.1856861733","0.1993060225","0.07475646869","0.04748310116","0.04467784119","0.04588568903","0.1968676877","0.1264470651","0.1190905493","0.1213827181"
35,P1-LDT,Pontones,LDT,strict,773150.995,3.31506584876258,2.1234950327579,230.107936943266,114.30366225077,277.287993620777,207.596818883398,"2018","0.2703361032","0.1709244495","0.1516592822","0.1773115394","0.08407566671","0.05733074258","0.05375390531","0.06273449287","0.2156075893","0.1475274456","0.1385927541","0.1605432296"
36,P1-LDT,Pontones,LDT,strict,773150.995,3.31506584876258,2.1234950327579,230.107936943266,114.30366225077,277.287993620777,207.596818883398,"2017","0.3114882898","0.2022882377","0.1814061054","0.2092192166","0.0655391079","0.03983452912","0.03715602171","0.03963446223","0.1689280316","0.1035969861","0.09687968597","0.1027046866"
37,P3-LDT,Pontones,LDT,strict,773150.795,3.80758337050758,3.68058177106597,187.004354329547,94.9213724258373,205.123473981445,178.336910357827,"2022","0.2342744507","0.157952421","0.1418725216","0.1572006164","0.09079952485","0.05174085646","0.04587161793","0.06533522891","0.2458138463","0.1386539908","0.1225228992","0.1770840323"
38,P3-LDT,Pontones,LDT,strict,773150.795,3.80758337050758,3.68058177106597,187.004354329547,94.9213724258373,205.123473981445,178.336910357827,"2021","0.3440783301","0.2213830146","0.1990920468","0.2275677864","0.05808616684","0.03640321954","0.03443580615","0.03469660714","0.1496261988","0.09414511982","0.08925084274","0.08899598934"
39,P3-LDT,Pontones,LDT,strict,773150.795,3.80758337050758,3.68058177106597,187.004354329547,94.9213724258373,205.123473981445,178.336910357827,"2020","0.3017991369","0.1972782175","0.1775883079","0.2033654547","0.0512850907","0.0325831563","0.03113750064","0.03324930954","0.1196061794","0.07572887664","0.07237672403","0.07763143137"
40,P3-LDT,Pontones,LDT,strict,773150.795,3.80758337050758,3.68058177106597,187.004354329547,94.9213724258373,205.123473981445,178.336910357827,"2019","0.2722473396","0.1833320356","0.1652216828","0.1834432677","0.06482051025","0.04169772541","0.03867628453","0.04259503931","0.1712879838","0.1101524654","0.1021070068","0.1128413043"
41,P3-LDT,Pontones,LDT,strict,773150.795,3.80758337050758,3.68058177106597,187.004354329547,94.9213724258373,205.123473981445,178.336910357827,"2018","0.2338230124","0.147386771","0.1295601147","0.1556195717","0.1015343597","0.07131441133","0.06655894032","0.07799298868","0.2586782396","0.1823688428","0.1705084278","0.1981707291"
42,P3-LDT,Pontones,LDT,strict,773150.795,3.80758337050758,3.68058177106597,187.004354329547,94.9213724258373,205.123473981445,178.336910357827,"2017","0.2886862819","0.18688732","0.1665161716","0.1975220595","0.04764667052","0.02874094465","0.0266491413","0.02974159275","0.122722127","0.07459439895","0.06928381209","0.07674324051"
43,P2-LDT,Pontones,LDT,strict,773151.79,11.2629302073273,12.0622522901328,205.285684285811,80.3360964453749,131.045687878718,137.86877688481,"2022","0.2914970952","0.1755861854","0.153900972","0.2012553945","0.05140428195","0.02925516883","0.02661077623","0.03718698678","0.1352008939","0.07603835515","0.06900078059","0.09725917077"
44,P2-LDT,Pontones,LDT,strict,773151.79,11.2629302073273,12.0622522901328,205.285684285811,80.3360964453749,131.045687878718,137.86877688481,"2021","0.3657432056","0.2138693669","0.1887585274","0.2498262676","0.04526888756","0.02935301353","0.02771689762","0.02937758084","0.1157260301","0.07451589065","0.07034172772","0.07467137804"
45,P2-LDT,Pontones,LDT,strict,773151.79,11.2629302073273,12.0622522901328,205.285684285811,80.3360964453749,131.045687878718,137.86877688481,"2020","0.356581745","0.2154910155","0.1914114078","0.247329768","0.03984602921","0.02480768125","0.02364425355","0.02482209078","0.09430510903","0.05838159063","0.05560757051","0.05885281651"
46,P2-LDT,Pontones,LDT,strict,773151.79,11.2629302073273,12.0622522901328,205.285684285811,80.3360964453749,131.045687878718,137.86877688481,"2019","0.3062303736","0.186114777","0.1643716881","0.2137139931","0.05021001832","0.03079814374","0.02830980389","0.03500046214","0.1320826764","0.07972778835","0.07305735519","0.09167258586"
47,P2-LDT,Pontones,LDT,strict,773151.79,11.2629302073273,12.0622522901328,205.285684285811,80.3360964453749,131.045687878718,137.86877688481,"2018","0.2978166351","0.1779313237","0.1561127104","0.2048425741","0.05261604214","0.03494770323","0.03263134203","0.04179580545","0.1396277052","0.09332818576","0.08715601982","0.1099178891"
48,P2-LDT,Pontones,LDT,strict,773151.79,11.2629302073273,12.0622522901328,205.285684285811,80.3360964453749,131.045687878718,137.86877688481,"2017","0.3199798694","0.1914244287","0.1683970245","0.2232498147","0.03513553587","0.02297141603","0.02167059243","0.0255016668","0.09153874087","0.05969922564","0.05625040066","0.06598086275"
49,P3-SDT,Pontones,SDT,strict,773151.511,5.92011977875331,3.71734751837774,250.363914882089,103.338363554403,191.069954828465,194.083799547302,"2022","0.2770751617","0.1760761568","0.1561840198","0.1857133889","0.05227199169","0.02707410158","0.02424335733","0.0342647335","0.1361199946","0.07009508243","0.06276534068","0.08996051016"
50,P3-SDT,Pontones,SDT,strict,773151.511,5.92011977875331,3.71734751837774,250.363914882089,103.338363554403,191.069954828465,194.083799547302,"2021","0.368411518","0.2327451941","0.2091366653","0.2433130428","0.06076881892","0.03841416054","0.03625128477","0.03434209285","0.1558396177","0.09850629034","0.09298748985","0.08778081908"
